epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
107,1022.42,0.4134,0.31975,0.21198,0.00456,0.12184,0.99811,1,0.995,0.94138,0.99811,1,0.995,0.96042,0.39186,0.28726,0.12701,0.00993,0,0.0013004,0.0013004,0.0013004
108,1031.73,0.39184,0.31907,0.21739,0.00493,0.13357,0.99995,0.96552,0.99219,0.98001,0.99995,0.96552,0.99219,0.97911,0.32976,0.34827,0.16715,0.00776,0,0.0012938,0.0012938,0.0012938
109,1041.05,0.3889,0.31548,0.19505,0.00441,0.12758,0.99986,1,0.995,0.97974,0.99986,1,0.995,0.98539,0.23741,0.31976,0.0919,0.00582,0,0.0012872,0.0012872,0.0012872
110,1050.34,0.40188,0.32296,0.22048,0.00461,0.14263,0.99077,1,0.995,0.95981,0.99077,1,0.995,0.96191,0.34774,0.29577,0.12923,0.00853,0,0.0012806,0.0012806,0.0012806
111,1059.67,0.38068,0.31444,0.21725,0.00429,0.13786,1,0.99155,0.995,0.92867,1,0.99155,0.995,0.96663,0.42645,0.32119,0.16156,0.01102,0,0.001274,0.001274,0.001274
112,1068.96,0.39122,0.31211,0.22303,0.00459,0.12672,0.99848,1,0.995,0.96365,0.99848,1,0.995,0.98215,0.35461,0.30999,0.13114,0.00919,0,0.0012674,0.0012674,0.0012674
113,1078.24,0.38912,0.32675,0.20761,0.00466,0.15555,0.99768,1,0.995,0.93658,0.99768,1,0.995,0.95007,0.40531,0.39557,0.13139,0.01119,0,0.0012608,0.0012608,0.0012608
114,1087.54,0.39007,0.32756,0.20441,0.00459,0.11234,0.99317,1,0.995,0.94599,0.99317,1,0.995,0.95073,0.33859,0.31938,0.15779,0.00847,0,0.0012542,0.0012542,0.0012542
115,1096.89,0.374,0.29942,0.22151,0.00417,0.12391,0.99817,1,0.995,0.9781,0.99817,1,0.995,0.99359,0.25279,0.30915,0.08484,0.00588,0,0.0012476,0.0012476,0.0012476
116,1106.18,0.39113,0.30668,0.20075,0.00424,0.11868,0.99962,1,0.995,0.96102,0.99962,1,0.995,0.95142,0.37817,0.34758,0.11662,0.00917,0,0.001241,0.001241,0.001241
