epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
109,1629.59,0.72341,0.82807,0.35772,0.00253,0.29121,0.99777,0.93939,0.99181,0.85251,0.99777,0.93939,0.99181,0.812,0.64782,1.06519,0.23321,0.00334,0,0.000218,0.000218,0.000218
110,1644.1,0.71636,0.8209,0.36222,0.00255,0.27391,1,0.94656,0.99215,0.85505,1,0.94656,0.99215,0.80812,0.6402,1.06688,0.21839,0.00333,0,0.0002015,0.0002015,0.0002015
111,1661.68,0.57329,0.80088,0.25485,0.00292,0.2866,0.95321,0.98485,0.99276,0.85558,0.95321,0.98485,0.99276,0.80932,0.62653,1.07479,0.21992,0.00331,0,0.000185,0.000185,0.000185
112,1676.2,0.56339,0.7788,0.24294,0.00283,0.27199,0.97444,0.98485,0.9935,0.85956,0.97444,0.98485,0.9935,0.80985,0.61821,1.06204,0.23385,0.0032,0,0.0001685,0.0001685,0.0001685
113,1690.72,0.55983,0.73806,0.23742,0.00278,0.25819,0.9839,0.9697,0.99328,0.86333,0.9839,0.9697,0.99328,0.80732,0.60679,1.05986,0.24823,0.00317,0,0.000152,0.000152,0.000152
114,1704.78,0.55322,0.72029,0.26014,0.00273,0.26351,0.96537,0.9697,0.99236,0.87169,0.96537,0.9697,0.99236,0.80659,0.60192,1.06091,0.24199,0.00311,0,0.0001355,0.0001355,0.0001355
115,1719.33,0.56454,0.73143,0.2536,0.00273,0.27851,0.96637,0.9697,0.99214,0.87061,0.96637,0.9697,0.99214,0.81494,0.59482,1.06802,0.26189,0.00308,0,0.000119,0.000119,0.000119
116,1734.1,0.55332,0.74294,0.26386,0.00265,0.28269,0.97715,0.97208,0.99158,0.86906,0.97715,0.97208,0.99158,0.81544,0.58959,1.07638,0.2673,0.00304,0,0.0001025,0.0001025,0.0001025
117,1748.32,0.52814,0.7656,0.2259,0.00262,0.27899,0.98419,0.94329,0.99114,0.87256,0.98419,0.94329,0.99114,0.81522,0.57452,1.07582,0.28972,0.00294,0,8.6e-05,8.6e-05,8.6e-05
118,1762.94,0.56926,0.75211,0.26327,0.00276,0.29816,0.93536,0.98667,0.99107,0.87285,0.93536,0.98667,0.99107,0.81344,0.5783,1.08152,0.28506,0.003,0,6.95e-05,6.95e-05,6.95e-05
